
File                                                                         Line Type        Length Text                                                     
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    474 title           75 Un séjour paisible pour les familles qui veulent plus ...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    538 title           64 Votre journée parfaite en famille à Chios avec Voulama...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    609 title           76 Ein ruhiger Inselaufenthalt für Familien, die mehr als...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    744 title           66 Un soggiorno tranquillo per famiglie che cercano più d...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    808 title           66 La tua giornata perfetta in famiglia a Chios con Voula...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    879 title           75 Una estancia tranquila para familias que buscan algo m...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts   1014 title           74 Sadece bir odadan fazlasını isteyen aileler için sakin...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\home.ts             779 title           63 Ξενοδοχείο στη Χίο – Δωμάτια & Διαμερίσματα | Voulaman...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\home.ts            1799 title           66 Eine besondere Gegend für einen authentischen Aufentha...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\home.ts            2482 title           64 Hotel en Chios – Habitaciones y apartamentos | Voulama...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\museum-details.ts   144 title           66 Archaeological Museum of Chios | Ancient History & Isl...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\museum-details.ts   234 title           62 Chios Byzantine Museum | Byzantine Art, Icons & Island...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\museum-details.ts   324 title           62 Koraes Library Chios | Rare Books, Manuscripts & Greek...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\museum-details.ts   414 title           64 Chios Maritime Museum | Seafaring, Shipbuilding & Isla...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\museum-details.ts   504 title           66 Kallimasia Folklore Museum Chios | Village Life & Loca...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     610 title           63 Chambres Doubles & Triples Standard à Chios | Voulaman...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     628 title           61 Des chambres flexibles pour couples, amis et petites f...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     676 title           61 Demandez-nous quelle chambre standard convient à votre...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     711 title           63 Standard Doppel- & Dreibettzimmer auf Chios | Voulaman...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     777 title           64 Fragen Sie uns, welches Standardzimmer zu Ihrem Aufent...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     913 title           67 Habitaciones Dobles y Triples Estándar en Quíos | Voul...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts     931 title           63 Habitaciones flexibles para parejas, amigos y familias...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\room-details.ts    1014 title           65 Sakız Adası Standart Çift & Üç Kişilik Odalar | Voulam...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      284 title           65 Γεύσεις της Χίου | Γαστρονομική εμπειρία από το Voulam...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      291 title           62 Η ιδανική ημέρα για λάτρεις της γεύσης με το Voulamand...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      419 title           66 Saveurs de Chios | Expériences gourmandes depuis Voula...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      554 title           65 Chios für Genießer | Kulinarische Erlebnisse ab Voulam...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      689 title           63 Sapori di Chios | Esperienze gastronomiche da Voulaman...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      696 title           66 La tua giornata perfetta da amante del gusto con Voula...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      824 title           69 Sabores de Quíos | Experiencias gastronómicas desde Vo...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\taste-lover.ts      959 title           64 Sakız Adası Lezzetleri | Voulamandis House ile yemek d...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts  143 title           61 Mesta Chios | Medieval Fortress Village in the Mastich...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts  324 title           64 Olympoi Chios | Medieval Mastic Village & Walking Rout...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 1463 title           62 Olympoi Chios | Village médiéval du mastic et route ve...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 1694 title           66 Lagada Chios | Village de bord de mer, port et taverne...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 2003 title           65 Olympoi Chios | Mittelalterliches Mastixdorf und Route...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 2543 title           70 Olympoi Chios | Villaggio medievale del mastice e perc...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 2853 description    165 Descubre Pyrgi en Chios, el famoso pueblo medieval pin...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 2859 description    165 Descubre Pyrgi en Chios, el famoso pueblo medieval pin...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\village-details.ts 3314 title           64 Lagada Chios | Pueblo junto al mar, puerto y tabernas ...


